Data,Perdedor,Dividas
2021-03-04T01:17:50,397729988490559499,"[""<@411569138197069843>""]"
2021-03-04T01:30:18,397729988490559499,"[""<@397729988490559499>""]"
2021-03-04T01:30:26,397729988490559499,"[""<@397729988490559499>""]"
2021-03-04T01:30:52,397729988490559499,"[""<@397729988490559499>""]"
2021-03-04T01:31:08,245275017535946752,"[""<@397729988490559499>"",""<@245275017535946752>""]"
2021-03-04T01:33:58,397729988490559499,[]
2021-03-04T01:36:11,397729988490559499,[]
2021-03-04T01:36:19,245275017535946752,"[""<@397729988490559499>""]"
2021-03-04T01:36:31,245275017535946752,"[""<@397729988490559499>""]"
2021-03-04T01:36:42,245275017535946752,"[""<@397729988490559499>""]"
2021-03-04T01:39:31,397729988490559499,"[""<@245275017535946752>""]"
2021-03-04T01:39:34,397729988490559499,[]
2021-03-04T01:41:36,397729988490559499,[]
